soldDate,street,city,statezip,country,bathrooms,bedrooms,floors,sqft_above,sqft_basement,sqft_living,sqft_lot,view,waterfront,condition,yr_built,yr_renovated,price,price_ZScore,price_MinMax,price_log
20140709T000000,10515 115th Pl NE,Kirkland,WA 98033,USA,1.75,3,1.0,1710,0,1710,8767,0,0,4.0,1986,,630000,0.193390354927,0.0790321426015,13.353475098367715
20140709T000000,1501 NW 90th St,Seattle,WA 98117,USA,3.25,3,3.0,1830,0,1830,1804,0,0,3.0,2014,,599950,0.113267398603,0.0747297587515,13.304601597392535
20140709T000000,537 N 70th St,Seattle,WA 98103,USA,2.0,3,1.0,980,800,1780,5720,0,0,5.0,1925,,680000,0.326706422021,0.0861908511704,13.42984807715229
20140709T000000,12008 35th Ave NE,Seattle,WA 98125,USA,1.0,3,2.0,1370,0,1370,6780,0,0,3.0,1930,,335500,-0.591841280262,0.0368673491302,12.723377235393874
20140709T000000,11807 NE 105th Ct,Kirkland,WA 98033,USA,2.5,3,2.0,1530,0,1530,2913,0,0,4.0,1986,,379000,-0.475856301889,0.0430954255852,12.845291484064564
20140709T000000,924 26th Ave S,Seattle,WA 98144,USA,1.0,1,1.0,730,0,730,1942,0,0,3.0,2008,,321500,-0.629169779048,0.0348629107309,12.68075282265981
20140709T000000,125 30th Ave,Seattle,WA 98122,USA,2.5,7,1.0,1880,700,2580,5750,0,0,4.0,1901,,599000,0.110734393328,0.0745937432887,13.303016877097587
20140709T000000,5626 Keystone Pl N,Seattle,WA 98103,USA,1.75,4,1.0,1340,760,2100,4750,0,0,3.0,1975,,759000,0.537345808031,0.0975016107094,13.539757056377766
20140709T000000,1714 S Pearl St,Seattle,WA 98108,USA,1.75,4,1.0,1190,630,1820,5015,0,0,4.0,1926,,300000,-0.686495687899,0.0317846660462,12.611537753638338
20140709T000000,10304 Interlake Ave N,Seattle,WA 98133,USA,1.5,3,1.0,1080,470,1550,4980,0,0,3.0,1978,,359000,-0.529182728727,0.0402319421576,12.791077667470416
20140709T000000,3822 42nd Ave SW,Seattle,WA 98116,USA,1.0,4,1.5,1440,0,1440,3600,0,0,4.0,1924,,550000,-0.0199153524251,0.0675782088911,13.217673557208654
20140709T000000,548 NE 86th St,Seattle,WA 98115,USA,1.0,2,1.0,930,0,930,6380,0,0,4.0,1940,,395000,-0.433195160419,0.0453862123273,12.886641043883259
20140709T000000,4112 38th Ave SW,Seattle,WA 98126,USA,1.0,2,1.0,780,0,780,3910,0,0,3.0,1918,,380000,-0.473189980547,0.0432385997566,12.84792653170257
20140709T000000,9510 28th Ave NW,Seattle,WA 98117,USA,1.0,4,1.5,1600,0,1600,5500,0,0,4.0,1946,,625000,0.180058748217,0.0783162717446,13.345506928718539
20140709T000000,5641 Keystone Pl N,Seattle,WA 98103,USA,2.5,4,2.0,1540,690,2230,4372,0,0,5.0,1935,,900000,0.913297117238,0.117689168874,13.710150042306449
20140709T000000,4408 Thackeray Pl NE,Seattle,WA 98105,USA,1.75,3,1.0,1020,830,1850,5100,0,0,3.0,1909,,580000,0.0600742878317,0.0718734340325,13.270783382522602
20140709T000000,1925 Walnut Ave SW,Seattle,WA 98116,USA,2.75,4,2.0,2100,600,2700,6000,0,0,4.0,1910,,749000,0.510682594612,0.0960698689956,13.526494262499357
20140709T000000,2318 N 60th St,Seattle,WA 98103,USA,3.25,4,2.0,2760,970,3730,4560,0,0,3.0,2013,,595000,0.10006910796,0.0740210466032,13.296316684527767
20140709T000000,6732 Mars Ave S,Seattle,WA 98108,USA,2.5,4,2.0,2540,0,2540,5001,0,0,3.0,2005,,487000,-0.187893596965,0.0585582360942,13.096019402064726
20140709T000000,7335 35th Ave SW,Seattle,WA 98126,USA,2.25,4,3.0,3300,0,3300,8365,0,0,3.0,2014,,760000,0.540012129373,0.0976447848808,13.541073712262515
20140709T000000,1018 NE 96th St,Seattle,WA 98115,USA,1.5,3,3.0,1270,0,1270,1413,0,0,3.0,2007,,440000,-0.313210700034,0.0518290500394,12.994530005894443
20140710T000000,5428 Kirkwood Pl N,Seattle,WA 98103,USA,2.75,6,1.5,2480,500,2980,5000,0,0,3.0,1916,,775000,0.580006949501,0.0997923974515,13.560618308335483
20140710T000000,5148 S Creston St,Seattle,WA 98178,USA,2.0,4,1.0,1070,1020,2090,6630,0,0,3.0,1974,,200000,-0.953127822089,0.0174672489083,12.206072645530174
20140710T000000,3051 36th Ave W,Seattle,WA 98199,USA,2.0,4,1.0,920,920,1840,5419,0,0,4.0,1942,,639000,0.217387247004,0.0803207101439,13.367659733359671
